build,file,peak_velocity_mps,face_angle_deg,snapped,confidence,user_judgment,computed_distance_m,outcome,end_x_m,end_y_m,total_time_s
by-build,stroke-B-3-2026-05-31T00-17-48.179Z.json,0.157,6.34,False,1.0,early,3.266,stopped,3.246,-0.36,3.233
by-build,stroke-B-4-2026-05-31T00-17-59.180Z.json,0.1599,2.49,False,1.0,early,3.389,stopped,3.386,-0.147,3.3
by-build,stroke-B-5-2026-05-31T00-18-06.397Z.json,0.1971,14.5,False,1.0,just_right,5.154,stopped,4.99,-1.291,4.083
by-build,stroke-B-6-2026-05-31T00-18-14.097Z.json,0.1446,13.01,False,1.0,early,2.768,stopped,2.697,-0.623,2.967
by-build,stroke-B-7-2026-05-31T00-18-20.381Z.json,0.1044,33.78,False,1.0,early,1.439,stopped,1.196,-0.8,2.133
by-build,stroke-B-8-2026-05-31T00-18-25.180Z.json,0.1496,8.35,False,1.0,just_right,2.966,stopped,2.935,-0.431,3.083
by-build,stroke-B-9-2026-05-31T00-18-30.784Z.json,0.1275,7.57,False,1.0,just_right,2.15,stopped,2.131,-0.283,2.617
by-build,stroke-C-1-2026-05-31T00-19-28.751Z.json,0.1627,-23.36,False,1.0,early,3.51,stopped,3.222,1.392,3.35
by-build,stroke-C-10-2026-05-31T00-20-13.606Z.json,0.0928,-11.74,False,1.0,early,1.137,stopped,1.113,0.231,1.883
by-build,stroke-C-11-2026-05-31T00-20-20.252Z.json,0.2154,-18.83,False,1.0,early,6.159,stopped,5.829,1.988,4.467
by-build,stroke-C-12-2026-05-31T00-20-26.051Z.json,0.3386,-29.53,False,1.0,early,15.243,stopped,13.264,7.512,7.067
by-build,stroke-C-13-2026-05-31T00-20-31.001Z.json,0.2409,-29.84,False,1.0,just_right,7.706,stopped,6.684,3.834,5.0
by-build,stroke-C-14-2026-05-31T00-20-38.169Z.json,0.1969,-27.72,False,1.0,early,5.147,stopped,4.556,2.394,4.083
by-build,stroke-C-15-2026-05-31T00-20-44.402Z.json,0.1782,-34.03,False,1.0,early,4.213,stopped,3.492,2.358,3.683
by-build,stroke-C-2-2026-05-31T00-19-32.833Z.json,0.1574,-22.55,False,1.0,early,3.285,stopped,3.034,1.26,3.25
by-build,stroke-C-3-2026-05-31T00-19-37.500Z.json,0.1837,-28.78,False,1.0,early,4.478,stopped,3.925,2.156,3.8
by-build,stroke-C-4-2026-05-31T00-19-42.015Z.json,0.1383,-30.11,False,1.0,early,2.531,stopped,2.19,1.27,2.833
by-build,stroke-C-5-2026-05-31T00-19-47.185Z.json,0.1335,-29.65,False,1.0,early,2.358,stopped,2.05,1.167,2.733
by-build,stroke-C-6-2026-05-31T00-19-52.284Z.json,0.0965,-13.71,False,1.0,just_right,1.229,stopped,1.194,0.291,1.967
by-build,stroke-C-7-2026-05-31T00-19-57.985Z.json,0.1371,-34.83,False,1.0,just_right,2.487,stopped,2.042,1.421,2.817
by-build,stroke-C-8-2026-05-31T00-20-02.918Z.json,0.1181,-23.89,False,1.0,just_right,1.846,stopped,1.688,0.748,2.417
by-build,stroke-C-9-2026-05-31T00-20-07.985Z.json,0.1086,-26.52,False,1.0,early,1.56,stopped,1.396,0.697,2.217
by-build,stroke-cal-1-2026-05-31T00-14-24.455Z.json,0.1678,-7.71,False,1.0,late,3.733,stopped,3.7,0.501,3.467
by-build,stroke-cal-2-2026-05-31T00-14-29.856Z.json,0.1899,-6.85,False,1.0,late,4.784,stopped,4.75,0.57,3.933
by-build,stroke-cal-3-2026-05-31T00-14-37.273Z.json,0.1571,-6.94,False,1.0,just_right,3.27,stopped,3.247,0.395,3.233
by-build,stroke-cal-4-2026-05-31T00-14-43.673Z.json,0.1678,-5.87,False,1.0,just_right,3.735,stopped,3.715,0.382,3.467
by-build,stroke-cal-5-2026-05-31T00-14-49.373Z.json,0.165,-5.64,False,1.0,early,3.607,stopped,3.589,0.354,3.4
by-build,stroke-D-1-2026-05-31T00-21-01.670Z.json,0.1122,-10.5,False,1.0,just_right,1.663,stopped,1.635,0.303,2.283
by-build,stroke-D-2-2026-05-31T00-21-09.320Z.json,0.0869,-7.4,False,1.0,just_right,0.994,stopped,0.986,0.128,1.75
by-build,stroke-D-3-2026-05-31T00-21-15.269Z.json,0.1185,-6.45,False,1.0,early,1.856,stopped,1.844,0.208,2.417
by-build,stroke-D-4-2026-05-31T00-21-23.370Z.json,0.1185,-6.85,False,1.0,just_right,1.858,stopped,1.844,0.221,2.417
by-build,stroke-D-5-2026-05-31T00-21-30.621Z.json,0.1218,-5.3,False,1.0,just_right,1.962,stopped,1.954,0.181,2.5
by-build,stroke-E-1-2026-05-31T00-22-21.972Z.json,0.1076,-10.31,False,1.0,just_right,1.53,stopped,1.505,0.274,2.2
by-build,stroke-E-10-2026-05-31T00-23-26.175Z.json,0.1554,-4.65,False,1.0,just_right,3.2,stopped,3.189,0.26,3.2
by-build,stroke-E-2-2026-05-31T00-22-26.789Z.json,0.1171,-5.13,False,1.0,early,1.814,stopped,1.807,0.162,2.4
by-build,stroke-E-3-2026-05-31T00-22-31.972Z.json,0.1019,-9.42,False,1.0,,1.372,stopped,1.353,0.225,2.067
